Added first text with WriteFile(). 
Added text 0 to the file
Added text 2 to the file
Added text 1 to the file
Added text 3 to the file
Added text 5 to the file
Added text 4 to the file
Added text 6 to the file
Added text 8 to the file
Added text 7 to the file
Added text 10 to the file
Added text 9 to the file
Added text 12 to the file
Added text 11 to the file
Added text 13 to the file
Added text 14 to the file
Added text 16 to the file
Added text 15 to the file
Added text 17 to the file
Added text 20 to the file
Added text 18 to the file
Added text 21 to the file
Added text 23 to the file
Added text 19 to the file
Added text 24 to the file
Added text 22 to the file
Added text 25 to the file
Added text 27 to the file
Added text 26 to the file
Added text 28 to the file
Added text 29 to the file
Added text 30 to the file
Added text 31 to the file
Added text 33 to the file
Added text 32 to the file
Added text 35 to the file
Added text 34 to the file
Added text 38 to the file
Added text 37 to the file
Added text 39 to the file
Added text 36 to the file
Added text 40 to the file
Added text 42 to the file
Added text 41 to the file
Added text 43 to the file
Added text 44 to the file
Added text 45 to the file
Added text 46 to the file
Added text 48 to the file
Added text 47 to the file
Added text 50 to the file
Added text 52 to the file
Added text 49 to the file
Added text 51 to the file
Added text 54 to the file
Added text 53 to the file
Added text 55 to the file
Added text 57 to the file
Added text 56 to the file
Added text 59 to the file
Added text 58 to the file
Added text 60 to the file
Added text 61 to the file
Added text 62 to the file
Added text 63 to the file
Added text 65 to the file
Added text 64 to the file
Added text 68 to the file
Added text 66 to the file
Added text 69 to the file
Added text 70 to the file
Added text 67 to the file
Added text 71 to the file
Added text 72 to the file
Added text 73 to the file
Added text 75 to the file
Added text 74 to the file
Added text 76 to the file
Added text 77 to the file
Added text 79 to the file
Added text 78 to the file
Added text 80 to the file
Added text 82 to the file
Added text 81 to the file
Added text 83 to the file
Added text 84 to the file
Added text 85 to the file
Added text 86 to the file
Added text 87 to the file
Added text 88 to the file
Added text 89 to the file
Added text 91 to the file
Added text 90 to the file
Added text 92 to the file
Added text 94 to the file
Added text 93 to the file
Added text 95 to the file
Added text 96 to the file
Added text 97 to the file
Added text 98 to the file
Added text 99 to the file
Added text 100 to the file
Added text 101 to the file
Added text 102 to the file
Added text 103 to the file
Added text 104 to the file
Added text 105 to the file
Added text 106 to the file
Added text 107 to the file
Added text 108 to the file
Added text 109 to the file
Added text 110 to the file
Added text 111 to the file
Added text 112 to the file
Added text 113 to the file
Added text 114 to the file
Added text 116 to the file
Added text 115 to the file
Added text 117 to the file
Added text 119 to the file
Added text 120 to the file
Added text 121 to the file
Added text 118 to the file
Added text 123 to the file
Added text 122 to the file
Added text 125 to the file
Added text 126 to the file
Added text 124 to the file
Added text 127 to the file
Added text 128 to the file
Added text 129 to the file
Added text 130 to the file
Added text 131 to the file
Added text 132 to the file
Added text 133 to the file
Added text 134 to the file
Added text 135 to the file
Added text 137 to the file
Added text 138 to the file
Added text 140 to the file
Added text 139 to the file
Added text 141 to the file
Added text 142 to the file
Added text 144 to the file
Added text 143 to the file
Added text 136 to the file
Added text 146 to the file
Added text 145 to the file
Added text 148 to the file
Added text 147 to the file
Added text 151 to the file
Added text 152 to the file
Added text 153 to the file
Added text 154 to the file
Added text 149 to the file
Added text 150 to the file
Added text 155 to the file
Added text 156 to the file
Added text 157 to the file
Added text 158 to the file
Added text 159 to the file
Added text 160 to the file
Added text 161 to the file
Added text 162 to the file
Added text 163 to the file
Added text 164 to the file
Added text 165 to the file
Added text 166 to the file
Added text 167 to the file
Added text 169 to the file
Added text 168 to the file
Added text 170 to the file
Added text 171 to the file
Added text 174 to the file
Added text 172 to the file
Added text 173 to the file
Added text 175 to the file
Added text 176 to the file
Added text 177 to the file
Added text 178 to the file
Added text 179 to the file
Added text 180 to the file
Added text 181 to the file
Added text 182 to the file
Added text 184 to the file
Added text 186 to the file
Added text 185 to the file
Added text 183 to the file
Added text 188 to the file
Added text 187 to the file
Added text 190 to the file
Added text 191 to the file
Added text 189 to the file
Added text 192 to the file
Added text 193 to the file
Added text 194 to the file
Added text 195 to the file
Added text 196 to the file
Added text 197 to the file
Added text 200 to the file
Added text 198 to the file
Added text 201 to the file
Added text 199 to the file
Added text 202 to the file
Added text 204 to the file
Added text 205 to the file
Added text 203 to the file
Added text 206 to the file
Added text 207 to the file
Added text 208 to the file
Added text 210 to the file
Added text 209 to the file
Added text 211 to the file
Added text 213 to the file
Added text 212 to the file
Added text 214 to the file
Added text 217 to the file
Added text 215 to the file
Added text 216 to the file
Added text 219 to the file
Added text 218 to the file
Added text 221 to the file
Added text 220 to the file
Added text 222 to the file
Added text 223 to the file
Added text 224 to the file
Added text 225 to the file
Added text 226 to the file
Added text 227 to the file
Added text 228 to the file
Added text 229 to the file
Added text 230 to the file
Added text 231 to the file
Added text 232 to the file
Added text 233 to the file
Added text 234 to the file
Added text 235 to the file
Added text 236 to the file
Added text 238 to the file
Added text 239 to the file
Added text 237 to the file
Added text 240 to the file
Added text 241 to the file
Added text 242 to the file
Added text 243 to the file
Added text 244 to the file
Added text 245 to the file
Added text 246 to the file
Added text 248 to the file
Added text 247 to the file
Added text 249 to the file
Added text 250 to the file
Added text 251 to the file
Added text 252 to the file
Added text 253 to the file
Added text 254 to the file
Added text 255 to the file
Added text 257 to the file
Added text 258 to the file
Added text 256 to the file
Added text 259 to the file
Added text 262 to the file
Added text 260 to the file
Added text 261 to the file
Added text 263 to the file
Added text 264 to the file
Added text 265 to the file
Added text 267 to the file
Added text 266 to the file
Added text 268 to the file
Added text 269 to the file
Added text 270 to the file
Added text 271 to the file
Added text 272 to the file
Added text 275 to the file
Added text 273 to the file
Added text 276 to the file
Added text 274 to the file
Added text 277 to the file
Added text 278 to the file
Added text 280 to the file
Added text 279 to the file
Added text 281 to the file
Added text 282 to the file
Added text 283 to the file
Added text 285 to the file
Added text 286 to the file
Added text 287 to the file
Added text 284 to the file
Added text 288 to the file
Added text 289 to the file
Added text 290 to the file
Added text 292 to the file
Added text 291 to the file
Added text 293 to the file
Added text 295 to the file
Added text 294 to the file
Added text 298 to the file
Added text 297 to the file
Added text 300 to the file
Added text 296 to the file
Added text 302 to the file
Added text 301 to the file
Added text 304 to the file
Added text 303 to the file
Added text 306 to the file
Added text 305 to the file
Added text 308 to the file
Added text 299 to the file
Added text 310 to the file
Added text 311 to the file
Added text 312 to the file
Added text 313 to the file
Added text 314 to the file
Added text 307 to the file
Added text 315 to the file
Added text 317 to the file
Added text 309 to the file
Added text 316 to the file
Added text 318 to the file
Added text 320 to the file
Added text 319 to the file
Added text 321 to the file
Added text 322 to the file
Added text 323 to the file
Added text 325 to the file
Added text 326 to the file
Added text 324 to the file
Added text 327 to the file
Added text 328 to the file
Added text 329 to the file
Added text 331 to the file
Added text 332 to the file
Added text 330 to the file
Added text 333 to the file
Added text 334 to the file
Added text 336 to the file
Added text 337 to the file
Added text 338 to the file
Added text 335 to the file
Added text 340 to the file
Added text 341 to the file
Added text 339 to the file
Added text 342 to the file
Added text 343 to the file
Added text 346 to the file
Added text 347 to the file
Added text 345 to the file
Added text 350 to the file
Added text 348 to the file
Added text 349 to the file
Added text 351 to the file
Added text 352 to the file
Added text 353 to the file
Added text 354 to the file
Added text 344 to the file
Added text 355 to the file
Added text 356 to the file
Added text 357 to the file
Added text 359 to the file
Added text 360 to the file
Added text 361 to the file
Added text 358 to the file
Added text 363 to the file
Added text 365 to the file
Added text 362 to the file
Added text 366 to the file
Added text 364 to the file
Added text 367 to the file
Added text 368 to the file
Added text 369 to the file
Added text 371 to the file
Added text 372 to the file
Added text 370 to the file
Added text 373 to the file
Added text 375 to the file
Added text 374 to the file
Added text 376 to the file
Added text 377 to the file
Added text 378 to the file
Added text 379 to the file
Added text 380 to the file
Added text 381 to the file
Added text 382 to the file
Added text 383 to the file
Added text 384 to the file
Added text 385 to the file
Added text 386 to the file
Added text 388 to the file
Added text 389 to the file
Added text 387 to the file
Added text 391 to the file
Added text 390 to the file
Added text 392 to the file
Added text 393 to the file
Added text 394 to the file
Added text 396 to the file
Added text 395 to the file
Added text 397 to the file
Added text 398 to the file
Added text 399 to the file
Added text 400 to the file
Added text 402 to the file
Added text 401 to the file
Added text 404 to the file
Added text 403 to the file
Added text 405 to the file
Added text 407 to the file
Added text 406 to the file
Added text 408 to the file
Added text 409 to the file
Added text 410 to the file
Added text 411 to the file
Added text 413 to the file
Added text 412 to the file
Added text 415 to the file
Added text 414 to the file
Added text 416 to the file
Added text 417 to the file
Added text 418 to the file
Added text 419 to the file
Added text 421 to the file
Added text 420 to the file
Added text 422 to the file
Added text 423 to the file
Added text 425 to the file
Added text 424 to the file
Added text 426 to the file
Added text 427 to the file
Added text 428 to the file
Added text 429 to the file
Added text 430 to the file
Added text 431 to the file
Added text 432 to the file
Added text 434 to the file
Added text 436 to the file
Added text 433 to the file
Added text 435 to the file
Added text 437 to the file
Added text 438 to the file
Added text 439 to the file
Added text 441 to the file
Added text 440 to the file
Added text 445 to the file
Added text 444 to the file
Added text 446 to the file
Added text 447 to the file
Added text 442 to the file
Added text 443 to the file
Added text 448 to the file
Added text 449 to the file
Added text 451 to the file
Added text 452 to the file
Added text 453 to the file
Added text 455 to the file
Added text 450 to the file
Added text 456 to the file
Added text 454 to the file
Added text 457 to the file
Added text 458 to the file
Added text 459 to the file
Added text 460 to the file
Added text 461 to the file
Added text 462 to the file
Added text 463 to the file
Added text 464 to the file
Added text 465 to the file
Added text 466 to the file
Added text 467 to the file
Added text 468 to the file
Added text 470 to the file
Added text 469 to the file
Added text 472 to the file
Added text 471 to the file
Added text 473 to the file
Added text 474 to the file
Added text 475 to the file
Added text 476 to the file
Added text 478 to the file
Added text 480 to the file
